time,range_raw,copol_raw,time,range_raw,crosspol_raw,time,weather_inside_temperature,time,weather_outside_temperature,time,weather_inside_humidity,time,weather_outside_humidity,time,weather_wind_speed,time,weather_wind_direction,time,weather_barometric_pressure,time,weather_dew_point,time,weather_rain_rate,time,elevation_angle,time,azimuth_angle,time,copol_background,time,crosspol_background,time,telescope_temperature,time,detector_temperature,time,laser_temperature,time,date_yyyyMMdd,time,time_hhmmss,time,year,time,month,time,day,time,hour,time,minute,time,second,time,aod_age_secs,time,latitude,time,longitude,time,altitude,time,laser_energy,time,syncpulse,time,range_raw,copol_snr,time,range_raw,crosspol_snr,time,aeronet_aod,time,sda_aod_totals,time,sda_aod_fines,time,sda_aod_coarses,time,sda_ae_totals,time,sda_ae_fines,time,sda_dae_totals,time,sda_dae_fines,time,range_nrb,copol_nrb,time,range_nrb,crosspol_nrb,time,range_radiometer,radiometer_temperature,time,range_radiometer,radiometer_vaporDensity,time,range_radiometer,radiometer_liquid,time,range_radiometer,radiometer_relativeHumidity,time,number_of_clouds,number_of_cloud_outlines,clouds,time,number_of_clouds,pbls,time,range_vbp,extinction_coefficient,time,range_vbp,mass_concentration,time,range_vbp,VBP,time,range_nrb,depolarization_ratio,time,range_nrb,particle_type,time,number_of_particle_type,particle_type_mapping,time,lidar_ratio,time,aod
83.7125,0.3297717,8.556894,83.7125,0.3297717,0.42082405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.7125,0.3297717,27092.668,83.7125,0.3297717,1395.1718,,,,,,,,,,,,,,,,,83.7125,0.41970944,0.32959887,83.7125,0.41970944,0.014187276,,,,,,,,,,,,,83.7125,3.0,1.0,,,,,83.7125,0.41970944,0.12606952,83.7125,0.41970944,28.054707,83.7125,0.41970944,0.004202318,83.7125,0.41970944,0.04126846,83.7125,0.41970944,6.0,,,,,,,
83.7125,0.35975096,7.590049,83.7125,0.35975096,0.3651346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.7125,0.35975096,24034.998,83.7125,0.35975096,1211.013,,,,,,,,,,,,,,,,,83.7125,0.4496887,0.3270473,83.7125,0.4496887,0.013879049,,,,,,,,,,,,,83.7125,3.0,2.0,,,,,83.7125,0.4496887,0.12630783,83.7125,0.4496887,28.055756,83.7125,0.4496887,0.004210261,83.7125,0.4496887,0.040709242,83.7125,0.4496887,6.0,,,,,,,
83.7125,0.3897302,6.5074673,83.7125,0.3897302,0.29988104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.7125,0.3897302,20607.432,83.7125,0.3897302,993.81805,,,,,,,,,,,,,,,,,83.7125,0.47966793,0.3260691,83.7125,0.47966793,0.013388386,,,,,,,,,,,,,83.7125,4.0,0.0,,,,,83.7125,0.47966793,0.12734012,83.7125,0.47966793,28.060297,83.7125,0.47966793,0.0042446703,83.7125,0.47966793,0.03943717,83.7125,0.47966793,6.0,,,,,,,
83.7125,0.41970944,5.766146,83.7125,0.41970944,0.25551093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.7125,0.41970944,18254.992,83.7125,0.41970944,846.0832,,,,,,,,,,,,,,,,,83.7125,0.5096472,0.3161096,83.7125,0.5096472,0.012797329,,,,,,,,,,,,,83.7125,4.0,1.0,,,,,83.7125,0.5096472,0.123578824,83.7125,0.5096472,28.043745,83.7125,0.5096472,0.004119294,83.7125,0.5096472,0.03890471,83.7125,0.5096472,6.0,,,,,,,
83.7125,0.44968867,5.1288266,83.7125,0.44968867,0.22452776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.7125,0.44968867,16232.469,83.7125,0.44968867,742.673,,,,,,,,,,,,,,,,,83.7125,0.5396264,0.3013354,83.7125,0.5396264,0.01205958,,,,,,,,,,,,,83.7125,4.0,2.0,,,,,83.7125,0.5396264,0.11708932,83.7125,0.5396264,28.015192,83.7125,0.5396264,0.003902977,83.7125,0.5396264,0.038477335,83.7125,0.5396264,6.0,,,,,,,
83.7125,0.47966793,4.6096387,83.7125,0.47966793,0.19562694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.7125,0.47966793,14583.667,83.7125,0.47966793,646.70306,,,,,,,,,,,,,,,,,83.7125,0.56960565,0.29176217,83.7125,0.56960565,0.011464362,,,,,,,,,,,,,83.7125,5.0,0.0,,,,,83.7125,0.56960565,0.113347925,83.7125,0.56960565,27.998732,83.7125,0.56960565,0.0037782649,83.7125,0.56960565,0.037800506,83.7125,0.56960565,6.0,,,,,,,
83.7125,0.5096472,4.0060835,83.7125,0.5096472,0.16807972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.7125,0.5096472,12677.13,83.7125,0.5096472,555.83167,,,,,,,,,,,,,,,,,83.7125,0.59958494,0.28223488,83.7125,0.59958494,0.010653026,,,,,,,,,,,,,83.7125,5.0,1.0,,,,,83.7125,0.59958494,0.109521784,83.7125,0.59958494,27.981895,83.7125,0.59958494,0.0036507265,83.7125,0.59958494,0.036359023,83.7125,0.59958494,6.0,,,,,,,
83.7125,0.5396264,3.4395955,83.7125,0.5396264,0.14283802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.7125,0.5396264,10887.291,83.7125,0.5396264,471.56674,,,,,,,,,,,,,,,,,83.7125,0.62956417,0.27006295,83.7125,0.62956417,0.009713934,,,,,,,,,,,,,83.7125,5.0,2.0,,,,,83.7125,0.62956417,0.10419938,83.7125,0.62956417,27.958477,83.7125,0.62956417,0.0034733128,83.7125,0.62956417,0.034731165,83.7125,0.62956417,6.0,,,,,,,
83.7125,0.56960565,3.0236502,83.7125,0.56960565,0.12405177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.7125,0.56960565,9569.973,83.7125,0.56960565,409.42963,,,,,,,,,,,,,,,,,83.7125,0.6595434,0.263144,83.7125,0.6595434,0.0093948785,,,,,,,,,,,,,83.7125,6.0,0.0,,,,,83.7125,0.6595434,0.10145379,83.7125,0.6595434,27.946396,83.7125,0.6595434,0.0033817932,83.7125,0.6595434,0.034453575,83.7125,0.6595434,6.0,,,,,,,
83.7125,0.59958494,2.659765,83.7125,0.59958494,0.10533987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.7125,0.59958494,8414.027,83.7125,0.59958494,347.69095,,,,,,,,,,,,,,,,,83.7125,0.6895227,0.25743756,83.7125,0.6895227,0.009155799,,,,,,,,,,,,,83.7125,6.0,1.0,,,,,83.7125,0.6895227,0.09925192,83.7125,0.6895227,27.936707,83.7125,0.6895227,0.003308397,83.7125,0.6895227,0.034314822,83.7125,0.6895227,6.0,,,,,,,
