a2622612.565365
Narit-cm 26/02/2026 12:54:48 26/02/2026 12:56:53 0045 0013.384714 0052.542598 00.0 00.0
0002401 0010 0000000 0010 05 0000000 0010 0000000 0010
1 0 1 04000 1 0000 3.75 00000.o 0 0 01 000 16 002401 0.500 BT0
1 2 1 02000 1 0000 3.75 00000.o 0 0 01 000 16 002401 0.500 S2A0
1 1 1 04000 1 0000 3.75 00000.o 0 0 00 000 00 002401 3.1746 BC0
1 3 1 02000 1 0000 3.75 00000.o 0 0 00 000 00 002401 3.1746 S2P0
1 5 0 04000 0 0000 1.00 00000.o 0 0 00 000 00 000000 0.000 OF0
0.000 .o Analog 0 	0.000 .o Analog StErr 0 	0.000 .o Photon Counting 0 	0.000 .o PC StErr 0 	0.000 .o Overflow Info 0 
5.69089	0.000541406	0	0	0
5.69059	0.000534076	0.0166597	0.0166632	0
5.6896	0.00053453	0.0166597	0.0166632	0
5.69001	0.000554183	0	0	0
5.69035	0.000537254	0	0	0
5.69071	0.000545881	0	0	0
5.69087	0.000549708	0	0	0
5.69119	0.000535957	0.0166597	0.0166632	0
5.69103	0.000529017	0.0166597	0.0166632	0
5.69099	0.000543157	0	0	0
5.6916	0.000535503	0	0	0
5.69086	0.000531417	0	0	0
5.68986	0.000538746	0	0	0
5.69008	0.000551265	0.0166597	0.0166632	0
5.69009	0.000548994	0.0166597	0.0166632	0
5.68996	0.000532844	0.0166597	0.0166632	0
5.6904	0.000540238	0.0166597	0.0166632	0
5.69061	0.000531806	0.0166597	0.0166632	0
5.69067	0.000529406	0.0166597	0.0166632	0
5.69018	0.000546141	0.0333195	0.0234645	0
5.68985	0.000532001	0.0166597	0.0166632	0
5.68941	0.000544843	0	0	0
5.68855	0.000538033	0	0	0
5.68954	0.0005368	0	0	0
5.69084	0.000544065	0.0166597	0.0166632	0
5.69012	0.00053933	0	0	0
5.69081	0.000535308	0.0166597	0.0166632	0
5.69151	0.000536217	0.0166597	0.0166632	0
5.69117	0.00053933	0.0166597	0.0166632	0
5.69067	0.000542314	0.0166597	0.0166632	0
5.69133	0.000548476	0.0166597	0.0166632	0
5.69162	0.000540238	0.0166597	0.0166632	0
5.69132	0.000530638	0	0	0
5.69176	0.000524476	0	0	0
5.691	0.000538422	0	0	0
5.69086	0.000541406	0	0	0
5.69017	0.000530963	0	0	0
5.69027	0.000524282	0.0166597	0.0166632	0
5.69079	0.000545492	0.0166597	0.0166632	0
5.69056	0.000544	0.0166597	0.0166632	0
5.69034	0.000555805	0	0	0
5.69072	0.000538422	0.0333195	0.0234645	0
5.69092	0.000533687	0	0	0
5.69111	0.000550032	0.0499792	0.0289055	0
5.68979	0.000536346	0.0166597	0.0166632	0
5.68944	0.000542638	0	0	0
5.69096	0.000536606	0	0	0
5.69127	0.000536152	0	0	0
5.69105	0.00052973	0.0166597	0.0166632	0
5.68976	0.000531806	0	0	0
5.68955	0.000534141	0	0	0
5.69046	0.000534141	0	0	0
5.68972	0.000551459	0.0166597	0.0166632	0
5.69037	0.000526033	0	0	0
5.69031	0.000525968	0	0	0
5.69067	0.000537319	0	0	0
5.69076	0.000534595	0	0	0
5.69101	0.000533492	0	0	0
5.69038	0.000523179	0	0	0
5.69018	0.000526941	0	0	0
5.69068	0.000529341	0.0166597	0.0166632	0
5.69124	0.000544714	0.0333195	0.0234645	0
5.6908	0.000536865	0.0166597	0.0166632	0
5.69088	0.000529406	0	0	0
5.68975	0.000526747	0	0	0
5.69006	0.000549773	0	0	0
5.69115	0.000547762	0.0166597	0.0166632	0
5.69162	0.000539395	0.0166597	0.0166632	0
5.69131	0.000547373	0.0166597	0.0166632	0
5.69044	0.000547113	0.0166597	0.0166632	0
5.6902	0.000533946	0	0	0
5.6902	0.000527849	0	0	0
5.69106	0.000533687	0	0	0
5.69054	0.000537773	0	0	0
5.69073	0.000543027	0	0	0
5.69086	0.000539135	0.0166597	0.0166632	0
5.69109	0.000533817	0.0166597	0.0166632	0
5.69125	0.000541211	0.0166597	0.0166632	0
5.69019	0.000544908	0.0166597	0.0166632	0
5.69068	0.000549513	0	0	0
5.6918	0.000549967	0.0166597	0.0166632	0
5.69091	0.000549513	0.0333195	0.0234645	0
5.69053	0.000543676	0	0	0
5.691	0.000529536	0	0	0
5.69118	0.000528952	0	0	0
5.69055	0.000537773	0	0	0
5.69039	0.000548411	0	0	0
5.69059	0.000534206	0.0166597	0.0166632	0
5.69069	0.000550811	0.0166597	0.0166632	0
5.69018	0.000544519	0.0166597	0.0166632	0
5.69079	0.000545816	0.0166597	0.0166632	0
5.69044	0.000530509	0.0166597	0.0166632	0
5.69076	0.000526876	0.0166597	0.0166632	0
5.69005	0.000547308	0.0166597	0.0166632	0
5.69029	0.000546854	0.0166597	0.0166632	0
5.69035	0.00053719	0	0	0
5.69083	0.000555805	0.0333195	0.0234645	0
5.69033	0.00054173	0.0166597	0.0166632	0
5.69005	0.000512542	0	0	0
5.68995	0.000529795	0.0166597	0.0166632	0
5.69054	0.000535892	0.0166597	0.0166632	0
5.6903	0.000540627	0.0499792	0.0289055	0
5.69091	0.000544908	0	0	0
5.69044	0.000553016	0.0333195	0.0234645	0
5.69012	0.000527784	0	0	0
5.69073	0.000541535	0.0166597	0.0166632	0
5.69176	0.00054413	0	0	0
5.69086	0.000532325	0.0166597	0.0166632	0
5.69024	0.000542638	0.0333195	0.0234645	0
5.69084	0.0005488	0.0166597	0.0166632	0
5.69115	0.000532065	0	0	0
5.69114	0.000541341	0	0	0
5.69138	0.000531222	0.0166597	0.0166632	0
5.69	0.000531546	0	0	0
5.69084	0.000550227	0	0	0
5.69107	0.000544065	0.0166597	0.0166632	0
5.69091	0.000542768	0.0333195	0.0234645	0
5.69108	0.000532065	0	0	0
5.69111	0.000550811	0.0166597	0.0166632	0
5.69071	0.000528822	0.0333195	0.0234645	0
5.69062	0.000545362	0	0	0
5.69153	0.000553405	0.0499792	0.0289055	0
5.69064	0.000541211	0	0	0
5.69076	0.000549059	0	0	0
5.69051	0.000540692	0.0166597	0.0166632	0
5.69135	0.000539395	0	0	0
5.69091	0.000538811	0	0	0
5.69028	0.000532455	0	0	0
5.69048	0.000537838	0.0166597	0.0166632	0
5.69024	0.000544908	0	0	0
5.69098	0.000538552	0	0	0
5.68982	0.000540952	0.0166597	0.0166632	0
5.69011	0.000527071	0	0	0
5.69042	0.000553081	0	0	0
5.69055	0.000535179	0	0	0
5.69114	0.000538616	0	0	0
5.69059	0.000549578	0.0333195	0.0234645	0
5.69074	0.00054387	0	0	0
5.69111	0.000546595	0.0166597	0.0166632	0
5.69052	0.000543546	0.0333195	0.0234645	0
5.69038	0.000533752	0	0	0
5.69169	0.000547697	0	0	0
5.69081	0.000544649	0.0166597	0.0166632	0
5.68949	0.00053933	0	0	0
5.69049	0.000548346	0	0	0
5.6907	0.000545816	0.0333195	0.0234645	0
5.69063	0.000551524	0	0	0
5.69056	0.000535827	0	0	0
5.69018	0.000542184	0	0	0
5.69086	0.00052986	0	0	0
5.69011	0.000527849	0	0	0
5.68992	0.000540822	0	0	0
5.69035	0.000529795	0	0	0
5.69032	0.000535438	0	0	0
5.68977	0.000539914	0	0	0
5.69111	0.000531871	0	0	0
5.69123	0.000543546	0.0166597	0.0166632	0
5.69021	0.000549124	0	0	0
5.6905	0.000541211	0	0	0
5.69029	0.000540043	0	0	0
5.68988	0.000535373	0.0166597	0.0166632	0
5.6902	0.000539525	0.0333195	0.0234645	0
5.69086	0.000536152	0	0	0
5.69045	0.000533946	0	0	0
5.69052	0.000562226	0.0499792	0.0289055	0
5.69059	0.00055107	0	0	0
5.6895	0.000533233	0	0	0
5.69028	0.000544065	0	0	0
5.69128	0.000539654	0	0	0
5.68971	0.0005368	0.0166597	0.0166632	0
5.69016	0.000534141	0.0166597	0.0166632	0
5.69026	0.000517731	0	0	0
5.69007	0.000540108	0.0333195	0.0234645	0
5.6907	0.000537579	0.0166597	0.0166632	0
5.69145	0.000538746	0	0	0
5.69039	0.000536735	0	0	0
5.68984	0.00053226	0	0	0
5.69041	0.000535308	0.0166597	0.0166632	0
5.69046	0.000534854	0	0	0
5.6898	0.000528433	0	0	0
5.69063	0.000521104	0	0	0
5.69078	0.0005344	0.0166597	0.0166632	0
5.69087	0.000537125	0	0	0
5.69034	0.000537773	0.0166597	0.0166632	0
5.69075	0.000558983	0	0	0
5.69008	0.000528822	0	0	0
5.69097	0.000527006	0	0	0
5.69173	0.000537514	0	0	0
5.69161	0.000550292	0	0	0
