a2672317.023913
Narit-cm 23/07/2026 17:02:00 23/07/2026 17:02:39 0045 0013.384714 0052.542598 00.0 00.0
0000152 0010 0000000 0010 05 0000000 0010 0000000 0010
1 0 1 05024 0 0750 3.75 00532.s 0 0 01 000 16 000152 0.500 BT0
1 2 1 04090 0 0750 3.75 00532.s 0 0 01 000 16 000152 0.500 S2A0
1 1 1 05024 0 0750 3.75 00532.s 0 0 00 000 00 000152 3.1746 BC0
1 3 1 04090 0 0750 3.75 00532.s 0 0 00 000 00 000152 3.1746 S2P0
1 5 0 05024 0 0000 1.00 00000.o 0 0 00 000 00 000000 0.000 OF0
532.000 .s Analog 0 	532.000 .s Analog StErr 0 	532.000 .s Photon Counting 0 	532.000 .s PC StErr 0 	0.000 .o Overflow Info 0 
5.94776	0.00409285	1.05263	0.513972	0
5.95734	0.00448498	1.57895	0.642465	0
5.95805	0.00484443	1.84211	0.685296	0
5.95594	0.00439512	1.31579	0.578218	0
5.95724	0.00522022	2.10526	0.813788	0
5.95629	0.00485668	2.10526	0.728127	0
5.96231	0.00482401	1.05263	0.513972	0
5.9584	0.00437469	1.05263	0.513972	0
5.94645	0.00443188	2.36842	0.770957	0
5.95032	0.00446455	1.84211	0.685296	0
5.95318	0.00446047	2.10526	0.728127	0
5.9455	0.00482401	1.05263	0.513972	0
5.94705	0.00432159	1.57895	0.642465	0
5.95217	0.00428483	1.57895	0.642465	0
5.94264	0.00390495	1.84211	0.685296	0
5.94801	0.00455442	1.31579	0.578218	0
5.95734	0.00424807	1.84211	0.685296	0
5.95393	0.00481992	2.63158	0.813788	0
5.94866	0.00456259	1.31579	0.578218	0
5.95247	0.00404383	1.05263	0.513972	0
5.95599	0.00461569	1.57895	0.642465	0
5.95795	0.00521614	1.31579	0.578218	0
5.94941	0.00388045	0.526316	0.364063	0
5.94976	0.00407243	1.57895	0.642465	0
5.95559	0.00471372	2.36842	0.856619	0
5.94991	0.0046933	1.84211	0.685296	0
5.94781	0.00448089	2.10526	0.728127	0
5.94525	0.00444005	0.526316	0.364063	0
5.93822	0.00394989	1.31579	0.578218	0
5.94404	0.00434201	2.10526	0.728127	0
5.95167	0.00489753	2.10526	0.728127	0
5.9467	0.0042113	1.05263	0.513972	0
5.9463	0.00425215	2.10526	0.728127	0
5.95242	0.00477499	1.57895	0.642465	0
5.95077	0.00439103	1.84211	0.685296	0
5.95729	0.00446455	1.84211	0.685296	0
5.96337	0.00541629	3.42105	0.920866	0
5.95759	0.00572264	1.84211	0.685296	0
5.94495	0.00455033	1.05263	0.513972	0
5.94735	0.00490979	3.42105	0.920866	0
5.95097	0.00486894	2.10526	0.728127	0
5.94063	0.00441554	1.57895	0.642465	0
5.93631	0.00379058	1.05263	0.513972	0
5.94143	0.00375791	0.789474	0.449725	0
5.93972	0.00421947	1.31579	0.578218	0
5.94334	0.00448089	2.10526	0.728127	0
5.95373	0.00478724	1.84211	0.685296	0
5.9461	0.0041051	1.31579	0.578218	0
5.94239	0.00480358	1.31579	0.578218	0
5.9473	0.00490162	2.36842	0.856619	0
5.95102	0.00481175	1.84211	0.685296	0
5.9468	0.00518346	1.84211	0.685296	0
5.9463	0.00503641	1.31579	0.578218	0
5.94966	0.0051712	1.31579	0.578218	0
5.93932	0.00441962	1.31579	0.578218	0
5.94565	0.00490979	2.36842	0.770957	0
5.94941	0.00422764	1.05263	0.513972	0
5.93983	0.0037334	0.789474	0.449725	0
5.94339	0.00437469	1.57895	0.642465	0
5.95599	0.00493021	1.57895	0.642465	0
5.95373	0.00498739	2.63158	0.813788	0
5.95107	0.00471781	3.42105	0.920866	0
5.95333	0.00494655	2.63158	0.813788	0
5.947	0.00444822	0	0	0
5.93762	0.00383551	1.05263	0.513972	0
